order_date,sku,product_name,city,darkstore,warehouse,units_sold,revenue
2026-06-11,10274845,Real Nut Premium Cashew,HR-NCR,,,1,345
2026-06-11,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-11,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-11,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-11,10274845,Real Nut Premium Cashew,Hyderabad,,,1,345
2026-06-11,10274845,Real Nut Premium Cashew,Aligarh,,,1,345
2026-06-11,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-11,10275571,Real Nut California Almonds,Hyderabad,,,1,325
2026-06-11,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-11,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-11,10275571,Real Nut California Almonds,Chennai,,,1,325
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,UP-NCR,,,1,395
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,UP-NCR,,,1,395
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,Mumbai,,,1,395
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,UP-NCR,,,1,395
2026-06-12,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-12,10257699,Real Nut Roasted & Salted Pistachios,Delhi,,,1,450
2026-06-12,10257699,Real Nut Roasted & Salted Pistachios,UP-NCR,,,1,450
2026-06-12,10257699,Real Nut Roasted & Salted Pistachios,HR-NCR,,,1,450
2026-06-12,10257699,Real Nut Roasted & Salted Pistachios,UP-NCR,,,1,450
2026-06-12,10257699,Real Nut Roasted & Salted Pistachios,Bengaluru,,,1,450
2026-06-12,10257699,Real Nut Roasted & Salted Pistachios,Bengaluru,,,1,450
2026-06-12,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-12,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",UP-NCR,,,1,240
2026-06-12,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",HR-NCR,,,1,240
2026-06-12,10258370,Real Nut Roasted & Salted Flavoured Almonds,Haldwani,,,1,355
2026-06-12,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Surat,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Mumbai,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Mumbai,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Hyderabad,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,Pune,,,1,395
2026-06-12,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
